geo_id,type,coordinates,highway
500,Point,"[116.39474121495587, 39.98257795165448]",8
501,Point,"[116.39439789109842, 39.984987143857715]",8
502,Point,"[116.39429978472816, 39.9870292675762]",8
503,Point,"[116.39429050341954, 39.98722556994986]",8
504,Point,"[116.39796576631257, 39.98231624097811]",0
505,Point,"[116.39839723608296, 39.98276955476025]",0
506,Point,"[116.39835223214905, 39.98212570866881]",10
507,Point,"[116.39878152007516, 39.982014091794355]",10
508,Point,"[116.39923661810793, 39.98196828056614]",10
509,Point,"[116.39964019241404, 39.98198814324409]",10
510,Point,"[116.40005237251333, 39.98209350585427]",10
511,Point,"[116.40037011002822, 39.982212027888586]",10
512,Point,"[116.40069695790828, 39.982427552816475]",10
513,Point,"[116.39763563763663, 39.98262839893899]",10
